Time, Mote 1 Rx Signal, Mote 2 Rx Signal
7.207760, 0,0
7.210200, 0,0
7.212640, 0,0
7.215080, 0,0
7.217520, 0,0
7.219960, 0,0
7.222400, 0,0
7.224840, 0,0
7.227280, 0,0
7.229720, 0,0
7.232160, 0,0
7.234600, 0,0
7.237040, 0,0
7.239480, 0,0
7.241920, 0,0
7.244360, 0,0
7.246800, 0,0
7.249240, 0,0
7.251680, 0,0
7.254120, 0,0
7.256560, 0,0
7.259000, 0,0
7.261440, 0,0
7.263880, 0,0
7.266320, 0,0
7.268760, 0,0
7.271200, 0,0
7.273640, 0,0
7.276080, 0,0
7.278520, 0,0
7.280960, 0,0
7.283400, 0,0
7.285840, 0,0
7.288280, 0,0
7.290720, 0,0
7.293160, 0,0
7.295600, 0,0
7.298040, 0,0
7.300480, 0,0
7.302920, 0,0
7.305360, 0,0
7.307800, 0,0
7.310240, 0,0
7.312680, 0,0
7.315120, 0,0
7.317560, 0,0
7.320000, 0,0
7.322440, 0,0
7.324880, 0,0
7.327320, 0,0
7.329760, 0,0
7.332200, 0,0
7.334640, 0,0
7.337080, 0,0
7.339520, 0,0
7.341960, 0,0
7.344400, 0,0
7.346840, 0,0
7.349280, 0,0
7.351720, 0,0
7.354160, 0,0
7.356600, 0,0
7.359040, 0,0
7.361480, 0,0
7.363920, 0,0
7.366360, 0,0
7.368800, 0,0
7.371240, 0,0
7.373680, 0,0
7.376120, 0,0
7.378560, 0,0
7.381000, 0,0
7.383440, 0,0
7.385880, 0,0
7.388320, 0,0
7.390760, 0,0
7.393200, 0,0
7.395640, 0,0
7.398080, 0,0
7.400520, 0,0
7.402960, 0,0
7.405400, 0,0
7.407840, 0,0
7.410280, 0,0
7.412720, 0,0
7.415160, 0,0
7.417600, 0,0
7.420040, 0,0
7.422480, 0,0
7.424920, 0,0
7.427360, 0,0
7.429800, 0,0
7.432240, 0,0
7.434680, 0,0
7.437120, 0,0
7.439560, 0,0
7.442000, 0,0
7.444440, 0,0
7.446880, 0,0
7.449320, 0,0
7.451760, 0,0
7.454200, 0,0
7.456640, 0,0
7.459080, 0,0
7.461520, 0,0
7.463960, 0,0
7.466400, 0,0
7.468840, 0,0
7.471280, 0,0
7.473720, 0,0
7.476160, 0,0
7.478600, 0,0
7.481040, 0,0
7.483480, 0,0
7.485920, 0,0
7.488360, 0,0
7.490800, 0,0
7.493240, 0,0
7.495680, 0,0
7.498120, 0,0
7.500560, 0,0
7.503000, 0,0
7.505440, 0,0
7.507880, 0,0
7.510320, 0,0
7.512760, 0,0
7.515200, 0,0
7.517640, 0,0
7.520080, 0,0
7.522520, 0,0
7.524960, 0,0
7.527400, 0,0
7.529840, 0,0
7.532280, 0,0
7.534720, 0,0
7.537160, 0,0
7.539600, 0,0
7.542040, 0,0
7.544480, 0,0
7.546920, 0,0
7.549360, 0,0
7.551800, 0,0
7.554240, 0,0
7.556680, 0,0
